,title,studio,domestic_gross,foreign_gross,year,id,production_budget,profitability
1216,The Book Thief,Fox,21500000.0,55100000.0,2013.0,41.0,19000000.0,57600000.0
1230,A Haunted House,ORF,40000000.0,20100000.0,2013.0,12.0,2500000.0,57600000.0
402,Scream 4,W/Dim.,38200000.0,59000000.0,2011.0,55.0,40000000.0,57200000.0
92,Skyline,Uni.,21400000.0,45400000.0,2010.0,99.0,10000000.0,56800000.0
1958,The Wedding Ringer,SGem,64500000.0,15300000.0,2015.0,73.0,23000000.0,56800000.0
3167,Second Act,STX,39300000.0,33000000.0,2018.0,83.0,15700000.0,56600000.0
3171,"Love, Simon",Fox,40800000.0,25500000.0,2018.0,57.0,10000000.0,56300000.0
1219,The Best Man Holiday,Uni.,70500000.0,2300000.0,2013.0,73.0,17000000.0,55800000.0
1222,The Call,TriS,51900000.0,16700000.0,2013.0,14.0,12800000.0,55800000.0
1577,Begin Again,Wein.,16200000.0,47300000.0,2014.0,91.0,8000000.0,55500000.0
1169,White House Down,Sony,73100000.0,132300000.0,2013.0,90.0,150000000.0,55400000.0
1196,Free Birds,Rela.,55800000.0,54600000.0,2013.0,16.0,55000000.0,55400000.0
36,The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010.0,44.0,160000000.0,55300000.0
62,Hereafter,WB,32700000.0,72500000.0,2010.0,61.0,50000000.0,55200000.0
814,Diary of a Wimpy Kid: Dog Days,Fox,49000000.0,28100000.0,2012.0,17.0,22000000.0,55100000.0
1956,Sicario,LGF,46900000.0,38000000.0,2015.0,100.0,30000000.0,54900000.0
421,Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000.0,19700000.0,2011.0,80.0,18000000.0,54400000.0
2835,The Dark Tower,Sony,50700000.0,62500000.0,2017.0,95.0,60000000.0,53200000.0
1945,Chappie,Sony,31600000.0,70500000.0,2015.0,11.0,49000000.0,53100000.0
418,The Ides of March,Sony,41000000.0,35000000.0,2011.0,76.0,23000000.0,53000000.0
94,Devil,Uni.,33600000.0,29100000.0,2010.0,71.0,10000000.0,52700000.0
2413,Collateral Beauty,WB (NL),31000000.0,57500000.0,2016.0,13.0,36000000.0,52500000.0
820,Moonrise Kingdom,Focus,45500000.0,22800000.0,2012.0,33.0,16000000.0,52300000.0
813,The Grey,ORF,51600000.0,25700000.0,2012.0,95.0,25000000.0,52300000.0
815,To Rome with Love,SPC,16700000.0,56600000.0,2012.0,58.0,21500000.0,51800000.0
2858,"Everything, Everything",WB,34100000.0,27500000.0,2017.0,70.0,10000000.0,51600000.0
406,Season of the Witch,Rela.,24800000.0,66800000.0,2011.0,89.0,40000000.0,51600000.0
2863,The Big Sick,LGF,42900000.0,13500000.0,2017.0,64.0,5000000.0,51400000.0
70,Get Him to the Greek,Uni.,61000000.0,30300000.0,2010.0,22.0,40000000.0,51300000.0
1968,Brooklyn,FoxS,38300000.0,23800000.0,2015.0,79.0,11000000.0,51100000.0
412,"Big Mommas: Like Father, Like Son",Fox,37900000.0,44800000.0,2011.0,1.0,32000000.0,50700000.0
1961,The Transporter Refueled,EC,16000000.0,56600000.0,2015.0,34.0,22000000.0,50600000.0
1970,Woman in Gold,Wein.,33299999.0,28300000.0,2015.0,81.0,11000000.0,50599999.0
3159,Den of Thieves,STX,44900000.0,35600000.0,2018.0,3.0,30000000.0,50500000.0
1233,Dallas Buyers Club,Focus,27300000.0,27900000.0,2013.0,73.0,5000000.0,50200000.0
3161,Tag,WB (NL),54700000.0,23400000.0,2018.0,50.0,28000000.0,50100000.0
410,J. Edgar,WB,37300000.0,47600000.0,2011.0,76.0,35000000.0,49900000.0
2420,The Boss,Uni.,63300000.0,15600000.0,2016.0,17.0,29000000.0,49900000.0
1975,No Escape,Wein.,27300000.0,27100000.0,2015.0,74.0,5000000.0,49400000.0
1546,The Boxtrolls,Focus,50800000.0,58400000.0,2014.0,94.0,60000000.0,49200000.0
1218,August: Osage County,Wein.,37700000.0,36500000.0,2013.0,15.0,25000000.0,49200000.0
79,Letters to Juliet,Sum.,53000000.0,26100000.0,2010.0,89.0,30000000.0,49100000.0
791,Abraham Lincoln: Vampire Hunter,Fox,37500000.0,79000000.0,2012.0,65.0,67500000.0,49000000.0
1232,Quartet,Wein.,18400000.0,41100000.0,2013.0,90.0,11000000.0,48500000.0
1978,The Boy Next Door,Uni.,35400000.0,17000000.0,2015.0,81.0,4000000.0,48400000.0
1921,Fantastic Four,Fox,56100000.0,111900000.0,2015.0,98.0,120000000.0,48000000.0
88,The American,Focus,35600000.0,32299999.0,2010.0,51.0,20000000.0,47899999.0
1957,Hitman: Agent 47,Fox,22500000.0,59900000.0,2015.0,8.0,35000000.0,47400000.0
408,Red Riding Hood,WB,37700000.0,51500000.0,2011.0,55.0,42000000.0,47200000.0
3146,Alpha,Studio 8,35900000.0,62300000.0,2018.0,79.0,51000000.0,47200000.0
413,Abduction,LGF,28100000.0,54000000.0,2011.0,96.0,35000000.0,47100000.0
